Symbol,Name,Market Cap
TGT,Target Corporation,0.5889284
TEL,TE Connectivity,2.7861972
TDY,Teledyne Technologies,4.2607603
TFX,Teleflex,2.7665234
TER,Teradyne,6.8884096
TSLA,"Tesla, Inc.",13.39582
TXN,Texas Instruments,10.718884
TXT,Textron,1.015201
TMO,Thermo Fisher Scientific,5.3962564
TJX,TJX Companies,2.5220487
TSCO,Tractor Supply,1.9661303
TT,Trane Technologies,4.2515635
TDG,TransDigm Group,9.551785
TRV,Travelers Companies (The),1.2253052
TRMB,Trimble Inc.,5.0724244
TFC,Truist Financial,4.3589196
TYL,Tyler Technologies,12.39376
TSN,Tyson Foods,0.37742618
USB,U.S. Bancorp,2.9938064
UBER,Uber,3.3551831
UDR,"UDR, Inc.",9.346052
ULTA,Ulta Beauty,1.688203
UNP,Union Pacific Corporation,6.185129
UAL,United Airlines Holdings,0.62164223
UPS,United Parcel Service,1.0749229
URI,United Rentals,3.3052945
UNH,UnitedHealth Group,1.2746431
UHS,Universal Health Services,0.80676275
VLO,Valero Energy,0.32708365
VTR,Ventas,5.2837706
VLTO,Veralto,4.9784217
VRSN,Verisign,13.395682
VRSK,Verisk Analytics,14.376684
VZ,Verizon,1.2352579
VRTX,Vertex Pharmaceuticals,11.189367
VTRS,Viatris,0.8946869
VICI,Vici Properties,8.247698
V,Visa Inc.,18.435755
VST,Vistra Corp.,3.514797
VMC,Vulcan Materials Company,4.893627
WRB,W. R. Berkley Corporation,1.68964
GWW,W. W. Grainger,3.0564756
WAB,Wabtec,3.4597645
WBA,Walgreens Boots Alliance,0.060162626
WMT,Walmart,1.1916573
DIS,Walt Disney Company (The),2.2785556
WBD,Warner Bros. Discovery,0.6582597
WM,Waste Management,4.13358
WAT,Waters Corporation,8.491696
WEC,WEC Energy Group,3.679897
WFC,Wells Fargo,3.328856
WELL,Welltower,11.24799
WST,West Pharmaceutical Services,8.599592
WDC,Western Digital,1.5692753
WY,Weyerhaeuser,3.0942895
WMB,Williams Companies,6.5183992
WTW,Willis Towers Watson,3.384181
WYNN,Wynn Resorts,1.3377188
XEL,Xcel Energy,2.803826
XYL,Xylem Inc.,3.577267
YUM,Yum! Brands,5.0420732
ZBRA,Zebra Technologies,4.3419814
ZBH,Zimmer Biomet,2.8694124
ZTS,Zoetis,8.424835
SPY,SPDR S&P 500,
GLD,SPDR Gold Trust,
VWO,Emerging Markets ETF,
EEM,MSCI Emerging Markets Index Fund,
EFA,MSCI EAFE Index Fund,
QQQ,QQQ,
IVV,S&P 500 Index Fund,
TIP,Barclays TIPS Bond Fund,
VTI,Total Stock Market ETF,
LQD,iBoxx $ Investment Grade Corporate Bond Fund,
IWF,Russell 1000 Growth,
IWM,Russell 2000 Index Fund,
BND,Total Bond Market ETF,
AGG,Barclays Aggregate Bond Fund,
HYG,iBoxx $ High Yield Corporate Bond Fund,
IWD,Russell 1000 Value,
